1	天智天皇	秋の田の かりほの庵の 苫をあらみ	わが衣手は 露にぬれつつ	あきのたのかりほのいほのとまをあらみ	わがころもではつゆにぬれつつ
2	持統天皇	春過ぎて 夏来にけらし 白妙の	衣ほすてふ 天の香具山	はるすぎてなつきにけらししろたへの	ころもほすてふあまのかぐやま
3	柿本人麻呂	あしびきの 山鳥の尾の しだり尾の	ながながし夜を ひとりかも寝む	あしびきのやまどりのをのしだりをの	ながながしよをひとりかもねむ
4	山部赤人	田子の浦に うち出でて見れば 白妙の	富士の高嶺に 雪は降りつつ	たごのうらにうちいでてみればしろたへの	ふじのたかねにゆきはふりつつ
5	猿丸大夫	奥山に 紅葉踏み分け 鳴く鹿の	声聞く時ぞ 秋は悲しき	おくやまにもみぢふみわけなくしかの	こゑきくときぞあきはかなしき
6	中納言家持	かささぎの 渡せる橋に 置く霜の	白きを見れば 夜ぞ更けにける	かささぎのわたせるはしにおくしもの	しろきをみればよぞふけにける
7	安倍仲麿	天の原 ふりさけ見れば 春日なる	三笠の山に 出でし月かも	あまのはらふりさけみればかすがなる	みかさのやまにいでしつきかも
8	喜撰法師	わが庵は 都のたつみ しかぞ住む	世をうぢ山と 人はいふなり	わがいほはみやこのたつみしかぞすむ	よをうぢやまとひとはいふなり
9	小野小町	花の色は うつりにけりな いたづらに	わが身世にふる ながめせしまに	はなのいろはうつりにけりないたづらに	わがみよにふるながめせしまに
10	蝉丸	これやこの 行くも帰るも 別れては	知るも知らぬも 逢坂の関	これやこのゆくもかへるもわかれては	しるもしらぬもあふさかのせき
11	参議篁	わたの原 八十島かけて 漕ぎ出でぬと	人には告げよ 海人の釣舟	わたのはらやそしまかけてこぎいでぬと	ひとにはつげよあまのつりぶね
12	僧正遍昭	天つ風 雲の通ひ路 吹きとぢよ	をとめの姿 しばしとどめむ	あまつかぜくものかよひぢふきとぢよ	をとめのすがたしばしとどめむ
13	陽成院	筑波嶺の 峰より落つる みなの川	恋ぞつもりて 淵となりぬる	つくばねのみねよりおつるみなのがは	こひぞつもりてふちとなりぬる
14	河原左大臣	陸奥の しのぶもぢずり 誰ゆゑに	乱れそめにし われならなくに	みちのくのしのぶもぢずりたれゆゑに	みだれそめにしわれならなくに
15	光孝天皇	君がため 春の野に出でて 若菜つむ	わが衣手に 雪は降りつつ	きみがためはるののにいでてわかなつむ	わがころもでにゆきはふりつつ
16	中納言行平	立ち別れ いなばの山の 峰に生ふる	まつとし聞かば 今帰り来む	たちわかれいなばのやまのみねにおふる	まつとしきかばいまかへりこむ
17	在原業平朝臣	ちはやぶる 神代も聞かず 竜田川	からくれなゐに 水くくるとは	ちはやぶるかみよもきかずたつたがは	からくれなゐにみづくくるとは
18	藤原敏行朝臣	住の江の 岸による波 よるさへや	夢の通ひ路 人目よくらむ	すみのえのきしによるなみよるさへや	ゆめのかよひぢひとめよくらむ
19	伊勢	難波潟 みじかき芦の ふしの間も	逢はでこの世を 過ぐしてよとや	なにはがたみじかきあしのふしのまも	あはでこのよをすぐしてよとや
20	元良親王	わびぬれば 今はた同じ 難波なる	みをつくしても 逢はむとぞ思ふ	わびぬればいまはたおなじなにはなる	みをつくしてもあはむとぞおもふ
21	素性法師	今来むと いひしばかりに 長月の	有明の月を 待ち出でつるかな	いまこむといひしばかりにながつきの	ありあけのつきをまちいでつるかな
22	文屋康秀	吹くからに 秋の草木の しをるれば	むべ山風を 嵐といふらむ	ふくからにあきのくさきのしをるれば	むべやまかぜをあらしといふらむ
23	大江千里	月見れば ちぢにものこそ 悲しけれ	わが身ひとつの 秋にはあらねど	つきみればちぢにものこそかなしけれ	わがみひとつのあきにはあらねど
24	菅家	このたびは 幣もとりあへず 手向山	紅葉の錦 神のまにまに	このたびはぬさもとりあへずたむけやま	もみぢのにしきかみのまにまに
25	三条右大臣	名にし負はば 逢坂山の さねかづら	人に知られで くるよしもがな	なにしおはばあふさかやまのさねかづら	ひとにしられでくるよしもがな
26	貞信公	小倉山 峰のもみぢ葉 心あらば	今ひとたびの みゆき待たなむ	をぐらやまみねのもみぢばこころあらば	いまひとたびのみゆきまたなむ
27	中納言兼輔	みかの原 わきて流るる いづみ川	いつ見きとてか 恋しかるらむ	みかのはらわきてながるるいづみがは	いつみきとてかこひしかるらむ
28	源宗于朝臣	山里は 冬ぞさびしさ まさりける	人目も草も かれぬと思へば	やまざとはふゆぞさびしさまさりける	ひとめもくさもかれぬとおもへば
29	凡河内躬恒	心あてに 折らばや折らむ 初霜の	置きまどはせる 白菊の花	こころあてにをらばやをらむはつしもの	おきまどはせるしらぎくのはな
30	壬生忠岑	有明の つれなく見えし 別れより	暁ばかり 憂きものはなし	ありあけのつれなくみえしわかれより	あかつきばかりうきものはなし
31	坂上是則	朝ぼらけ 有明の月と 見るまでに	吉野の里に 降れる白雪	あさぼらけありあけのつきとみるまでに	よしののさとにふれるしらゆき
32	春道列樹	山川に 風のかけたる しがらみは	流れもあへぬ 紅葉なりけり	やまがはにかぜのかけたるしがらみは	ながれもあへぬもみぢなりけり
33	紀友則	久方の 光のどけき 春の日に	しづ心なく 花の散るらむ	ひさかたのひかりのどけきはるのひに	しづごころなくはなのちるらむ
34	藤原興風	誰をかも 知る人にせむ 高砂の	松も昔の 友ならなくに	たれをかもしるひとにせむたかさごの	まつもむかしのともならなくに
35	紀貫之	人はいさ 心も知らず ふるさとは	花ぞ昔の 香ににほひける	ひとはいさこころもしらずふるさとは	はなぞむかしのかににほひける
36	清原深養父	夏の夜は まだ宵ながら 明けぬるを	雲のいづこに 月宿るらむ	なつのよはまだよひながらあけぬるを	くものいづこにつきやどるらむ
37	文屋朝康	白露に 風の吹きしく 秋の野は	つらぬきとめぬ 玉ぞ散りける	しらつゆにかぜのふきしくあきののは	つらぬきとめぬたまぞちりける
38	右近	忘らるる 身をば思はず 誓ひてし	人の命の 惜しくもあるかな	わすらるるみをばおもはずちかひてし	ひとのいのちのをしくもあるかな
39	参議等	浅茅生の 小野の篠原 忍ぶれど	あまりてなどか 人の恋しき	あさぢふのをののしのはらしのぶれど	あまりてなどかひとのこひしき
40	平兼盛	忍ぶれど 色に出でにけり わが恋は	ものや思ふと 人の問ふまで	しのぶれどいろにいでにけりわがこひは	ものやおもふとひとのとふまで
41	壬生忠見	恋すてふ わが名はまだき 立ちにけり	人知れずこそ 思ひそめしか	こひすてふわがなはまだきたちにけり	ひとしれずこそおもひそめしか
42	清原元輔	契りきな かたみに袖を しぼりつつ	末の松山 波越さじとは	ちぎりきなかたみにそでをしぼりつつ	すゑのまつやまなみこさじとは
43	権中納言敦忠	逢ひ見ての 後の心に くらぶれば	昔はものを 思はざりけり	あひみてののちのこころにくらぶれば	むかしはものをおもはざりけり
44	中納言朝忠	逢ふことの 絶えてしなくは なかなかに	人をも身をも 恨みざらまし	あふことのたえてしなくはなかなかに	ひとをもみをもうらみざらまし
45	謙徳公	あはれとも いふべき人は 思ほえで	身のいたづらに なりぬべきかな	あはれともいふべきひとはおもほえで	みのいたづらになりぬべきかな
46	曾禰好忠	由良の門を 渡る舟人 かぢを絶え	ゆくへも知らぬ 恋の道かな	ゆらのとをわたるふなびとかぢをたえ	ゆくへもしらぬこひのみちかな
47	恵慶法師	八重葎 しげれる宿の さびしきに	人こそ見えね 秋は来にけり	やへむぐらしげれるやどのさびしきに	ひとこそみえねあきはきにけり
48	源重之	風をいたみ 岩うつ波の おのれのみ	くだけてものを 思ふころかな	かぜをいたみいはうつなみのおのれのみ	くだけてものをおもふころかな
49	大中臣能宣朝臣	みかきもり 衛士のたく火の 夜は燃え	昼は消えつつ ものをこそ思へ	みかきもりゑじのたくひのよるはもえ	ひるはきえつつものをこそおもへ
50	藤原義孝	君がため 惜しからざりし 命さへ	長くもがなと 思ひけるかな	きみがためをしからざりしいのちさへ	ながくもがなとおもひけるかな
51	藤原実方朝臣	かくとだに えやはいぶきの さしも草	さしも知らじな 燃ゆる思ひを	かくとだにえやはいぶきのさしもぐさ	さしもしらじなもゆるおもひを
52	藤原道信朝臣	明けぬれば 暮るるものとは 知りながら	なほ恨めしき 朝ぼらけかな	あけぬればくるるものとはしりながら	なほうらめしきあさぼらけかな
53	右大将道綱母	嘆きつつ ひとり寝る夜の 明くる間は	いかに久しき ものとかは知る	なげきつつひとりぬるよのあくるまは	いかにひさしきものとかはしる
54	儀同三司母	忘れじの 行く末までは かたければ	今日を限りの 命ともがな	わすれじのゆくすゑまではかたければ	けふをかぎりのいのちともがな
55	大納言公任	滝の音は 絶えて久しく なりぬれど	名こそ流れて なほ聞こえけれ	たきのおとはたえてひさしくなりぬれど	なこそながれてなほきこえけれ
56	和泉式部	あらざらむ この世のほかの 思ひ出に	今ひとたびの 逢ふこともがな	あらざらむこのよのほかのおもひでに	いまひとたびのあふこともがな
57	紫式部	めぐり逢ひて 見しやそれとも わかぬ間に	雲隠れにし 夜半の月かな	めぐりあひてみしやそれともわかぬまに	くもがくれにしよはのつきかな
58	大弐三位	有馬山 猪名の笹原 風吹けば	いでそよ人を 忘れやはする	ありまやまゐなのささはらかぜふけば	いでそよひとをわすれやはする
59	赤染衛門	やすらはで 寝なましものを さ夜更けて	傾くまでの 月を見しかな	やすらはでねなましものをさよふけて	かたぶくまでのつきをみしかな
60	小式部内侍	大江山 いく野の道の 遠ければ	まだふみもみず 天の橋立	おほえやまいくののみちのとほければ	まだふみもみずあまのはしだて
61	伊勢大輔	いにしへの 奈良の都の 八重桜	けふ九重に にほひぬるかな	いにしへのならのみやこのやへざくら	けふここのへににほひぬるかな
62	清少納言	夜をこめて 鳥のそら音は はかるとも	よに逢坂の 関はゆるさじ	よをこめてとりのそらねははかるとも	よにあふさかのせきはゆるさじ
63	左京大夫道雅	今はただ 思ひ絶えなむ とばかりを	人づてならで いふよしもがな	いまはただおもひたえなむとばかりを	ひとづてならでいふよしもがな
